clean_file,enhanced_file,sampling_rate,PESQ_Noisy,SI_SDR_Noisy,STOI_Noisy,DNSMOS_p808_mos_Noisy,DNSMOS_mos_sig_Noisy,DNSMOS_mos_bak_Noisy,DNSMOS_mos_ovr_Noisy,source_file,enhanced_file_mband_lin_avr0,sampling_rate_mband_lin_avr0,PESQ_mband_lin_avr0,SI_SDR_mband_lin_avr0,STOI_mband_lin_avr0,DNSMOS_p808_mos_mband_lin_avr0,DNSMOS_mos_sig_mband_lin_avr0,DNSMOS_mos_bak_mband_lin_avr0,DNSMOS_mos_ovr_mband_lin_avr0,source_file_mband_lin_avr0,enhanced_file_mband_lin_avr1,sampling_rate_mband_lin_avr1,PESQ_mband_lin_avr1,SI_SDR_mband_lin_avr1,STOI_mband_lin_avr1,DNSMOS_p808_mos_mband_lin_avr1,DNSMOS_mos_sig_mband_lin_avr1,DNSMOS_mos_bak_mband_lin_avr1,DNSMOS_mos_ovr_mband_lin_avr1,source_file_mband_lin_avr1,enhanced_file_mband_py_lin_avr0_8,sampling_rate_mband_py_lin_avr0_8,PESQ_mband_py_lin_avr0_8,SI_SDR_mband_py_lin_avr0_8,STOI_mband_py_lin_avr0_8,DNSMOS_p808_mos_mband_py_lin_avr0_8,DNSMOS_mos_sig_mband_py_lin_avr0_8,DNSMOS_mos_bak_mband_py_lin_avr0_8,DNSMOS_mos_ovr_mband_py_lin_avr0_8,source_file_mband_py_lin_avr0_8,enhanced_file_mband_py_lin_avr1,sampling_rate_mband_py_lin_avr1,PESQ_mband_py_lin_avr1,SI_SDR_mband_py_lin_avr1,STOI_mband_py_lin_avr1,DNSMOS_p808_mos_mband_py_lin_avr1,DNSMOS_mos_sig_mband_py_lin_avr1,DNSMOS_mos_bak_mband_py_lin_avr1,DNSMOS_mos_ovr_mband_py_lin_avr1,source_file_mband_py_lin_avr1,noise_category
p092_emo_adoration_freeform,BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.1179051399230957,4.982757568359375,0.747296154499054,2.643773039182028,4.331066451329311,2.334779836504334,2.776388626250618,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_lin_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.246144413948059,6.867204666137695,0.7473719716072083,2.848397254943848,2.499228923576289,2.0150591854022823,1.6636845081902676,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.313580870628357,6.978567123413086,0.7508317828178406,2.8158764044443765,3.3617587604587302,2.3195846696903097,2.225466001576536,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.2587906122207642,7.42594051361084,0.753369927406311,2.901902318000793,3.133746219200537,2.13560764189978,2.042708898257849,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.3132226467132568,6.429585933685303,0.7430552840232849,2.774137655893961,3.808801892209202,2.5197571022810017,2.605592556104817,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,Babble
p092_emo_adoration_sentences,BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.1803655624389648,5.005819320678711,0.7374955415725708,3.3973292963845387,3.748244741134378,2.5135954043468502,2.541718000765752,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_lin_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.3734350204467771,8.700922966003418,0.7275612354278564,3.3820439747401645,2.6679910803354967,2.694885395882769,2.109486098491564,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.4513158798217771,8.866230010986328,0.7394508123397827,3.418163095201765,3.865292394397546,2.6730776758483747,2.688304727432352,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.422271490097046,8.928017616271973,0.7288784384727478,3.4166035652160645,2.602509498290782,3.0196941109776887,2.15567677022936,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.586521863937378,9.513269424438477,0.7443883419036865,3.3453817708151683,3.789264130200348,2.6754945338171043,2.6493104054421965,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,Car
p092_emo_amazement_freeform,BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.0970019102096558,5.015362739562988,0.785666286945343,2.944141353879656,3.992972432977557,2.079351019201946,2.4632286773033867,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_lin_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.374134182929993,11.873730659484863,0.7832262516021729,2.966457775660924,3.2988258021267134,2.4527943990490657,2.4228854203124177,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.4577511548995972,11.55117130279541,0.8113573789596558,2.9488364968981062,4.041440110839452,2.80772795674791,3.0254366717675643,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.3305648565292358,11.129237174987791,0.7872558236122131,2.91439642224993,3.006935919430568,2.5145182546418985,2.241228312549008,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.4528765678405762,11.70292854309082,0.7937219738960266,2.965667486190796,3.706564387508286,2.616633595970579,2.701281481592732,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,Car
p092_emo_amazement_sentences,BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.1796753406524658,4.961920261383057,0.7268972992897034,3.1137354373931885,3.610230545933869,2.263053849684021,2.408852349692668,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_N6_lin_AVR0_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.3082534074783323,9.7700777053833,0.733729898929596,2.9647953510284424,3.049332571327829,2.0049437298152086,1.9970125064200883,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_N6_lin_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.5524582862854004,10.820035934448242,0.7410951256752014,2.9902658462524414,3.745467863911523,2.756335066785224,2.785713783722381,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_lin_AVR0_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.3450298309326172,9.58722972869873,0.7263886332511902,3.0226762294769287,2.4390057651923933,2.702440243526728,2.003553552549688,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.5494909286499023,10.934552192687988,0.7299650311470032,2.8606157302856445,3.2579438817882966,2.9923828979700664,2.50999258770346,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,Car
p092_emo_amusement_freeform,BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0618342161178589,4.9871673583984375,0.7113854885101318,2.5354549884796143,3.3413483928024834,1.4391713217864743,1.7148123868458816,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_N6_lin_AVR0_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.101022720336914,6.305096626281738,0.7301205992698669,2.4009186029434204,3.603840321321913,1.622264030033424,1.90520343585455,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_N6_lin_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0865395069122314,5.386989593505859,0.6997421979904175,2.4394867420196533,3.5193769384207823,1.6287230268103208,1.8499829116247155,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_lin_AVR0_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.084743618965149,5.408591270446777,0.7200249433517456,2.404954195022583,3.5031019836859785,2.07744686736316,2.220275618437543,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0929840803146362,7.201964855194092,0.7086670398712158,2.317543029785156,3.857250622404852,2.0872395214738884,2.458712112148703,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,Construction
p092_emo_amusement_sentences,BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.0891962051391602,4.963659763336182,0.7565394043922424,2.7873645623524985,4.287304535505876,1.857619612580691,2.413883144315572,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_N6_lin_AVR0_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.228282809257507,9.068292617797852,0.7529968023300171,2.624876340230306,2.153917270686781,2.0408524404645085,1.568645498220438,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_N6_lin_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.320035457611084,8.839019775390625,0.7863014340400696,2.969826459884644,2.5711650854481283,2.2993604436571653,1.7763213845573709,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_lin_AVR0_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.2180842161178589,9.15519905090332,0.7488745450973511,2.6785875956217446,2.297672319539886,2.072507921130793,1.66965596857112,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.3202853202819824,8.56198787689209,0.7749397158622742,2.8716870148976645,3.372515172849982,2.321944725588844,2.227004148676609,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,Construction
p092_emo_anger_freeform,BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.1424521207809448,5.010672092437744,0.7959412336349487,2.484922204698836,4.204389554873325,1.555508235594467,2.1025015586557663,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_N6_lin_AVR0_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.1958811283111572,6.642928600311279,0.7956141233444214,2.277492489133562,3.792524939869908,1.45819514447795,1.8216592727028351,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_N6_lin_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.2491509914398191,6.60634708404541,0.7918919920921326,2.718477623803275,3.3373973907343526,1.7258082853784984,1.900652728778196,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_lin_AVR0_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.1826567649841309,6.714617729187012,0.80843585729599,2.23967034476144,3.3908216737821304,1.5408989288831354,1.81044769811234,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.257623314857483,6.828890800476074,0.8019784688949585,2.735457386289324,3.558783783399999,1.6741692532586483,1.911071460970691,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,Construction
p092_emo_anger_sentences,BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.151146650314331,5.017452716827393,0.6909574866294861,2.4644167763846263,3.405828936502461,1.571353907638284,1.7662565137414783,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_N6_lin_AVR0_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.171342134475708,6.454553127288818,0.6980165243148804,2.22146623475211,2.847275643750386,1.7417521668616105,1.5819152115989683,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_N6_lin_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.244412899017334,7.098649978637695,0.7056109309196472,2.493844509124756,2.881202474985202,1.914335532386785,1.748370247719334,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_lin_AVR0_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.1807167530059814,6.733460426330566,0.6985077857971191,2.145307506833757,2.064057450492186,1.873655562228408,1.381238633656913,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.2842767238616943,8.022431373596191,0.7213964462280273,2.442051989691598,2.2209230795215293,1.8324596344283963,1.3722609791876923,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,Construction
p092_emo_confusion_freeform,BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.1362409591674805,5.014190196990967,0.6730671525001526,2.3884407792772566,4.057254154326409,1.7925783631554346,2.395434734256064,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_N6_lin_AVR0_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.3290096521377563,10.217328071594238,0.66694575548172,2.608091422489711,3.598530338398741,1.9428838826583603,2.203392239628246,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_N6_lin_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.2681660652160645,8.242243766784668,0.6380664110183716,2.4707088470458984,4.100970914406088,2.316256482357122,2.719584156816925,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_lin_AVR0_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.3180558681488037,10.100109100341797,0.6600311398506165,2.652043410709926,3.5521930468226097,2.1562030782818047,2.280357911247268,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.4407039880752563,8.935445785522461,0.6767822504043579,2.6219567571367537,4.159233474898501,2.483602893796604,2.818500845851095,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,Construction
p092_emo_confusion_sentences,BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.3481749296188354,4.986920356750488,0.5006161332130432,2.8088293075561523,3.965553456510679,2.47846623532828,2.6571909384516785,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_N6_lin_AVR0_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.541441798210144,8.124273300170898,0.5022850036621094,2.6471736431121826,3.4314661748193243,3.080729189964804,2.7548833337981025,mband_N6_lin_AVR0_metrics.csv_ENH-mband_N6_lin_AVR0_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_N6_lin_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.5990731716156006,9.89747428894043,0.520001232624054,2.712771415710449,3.6256153830651847,3.1291040298258888,2.812900914158224,mband_N6_lin_AVR1_metrics.csv_ENH-mband_N6_lin_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_lin_AVR0_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.4475066661834717,8.306306838989258,0.5129755139350891,2.605376720428467,3.701724996661216,2.401816205702728,2.558821599388956,mband_py_N6_lin_AVR0_8_metrics.csv_ENH-mband_py_N6_lin_AVR0_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.5953986644744873,8.660738945007324,0.5134100914001465,2.781541109085083,4.031888391324149,3.176237215710916,3.134225408136261,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,Flight
