Metric,SNR_dB,Noisy,GTCRN,GTCRN_SS,GTCRN_SS_vad1,GTCRN_SS_vad1_dcrthrsh
PESQ,-5,1.0751,1.2394,1.2706,1.2675,1.2685
PESQ,0,1.1086,1.4197,1.485,1.4832,1.4822
PESQ,5,1.2038,1.7413,1.7425,1.728,1.7439
PESQ,10,1.3882,2.0438,2.0739,2.0773,2.0747
PESQ,15,1.7284,2.3784,2.4954,2.4934,2.4834
SI_SDR,-5,-5.0132,3.8175,4.6096,4.636,4.6175
SI_SDR,0,-0.0328,7.5701,7.6497,7.7366,7.6914
SI_SDR,5,4.9972,11.472,11.2791,11.4514,11.3056
SI_SDR,10,9.9995,14.5717,14.0301,14.2134,14.0459
SI_SDR,15,14.9983,18.4455,17.5328,17.6678,17.5568
STOI,-5,0.5692,0.5839,0.593,0.5936,0.593
STOI,0,0.6387,0.6607,0.6633,0.6636,0.663
STOI,5,0.6961,0.7258,0.7249,0.7256,0.7252
STOI,10,0.7539,0.7754,0.7726,0.773,0.7724
STOI,15,0.7911,0.8091,0.805,0.8057,0.8051
DNSMOS_p808_mos,-5,2.4054,2.7985,2.7943,2.8135,2.8026
DNSMOS_p808_mos,0,2.5219,2.9849,3.0176,3.016,3.0231
DNSMOS_p808_mos,5,2.6909,3.2097,3.2079,3.2136,3.2066
DNSMOS_p808_mos,10,2.8637,3.3136,3.3111,3.3292,3.3147
DNSMOS_p808_mos,15,2.9952,3.4446,3.4332,3.4415,3.4325
DNSMOS_mos_sig,-5,3.5547,2.2821,2.5285,2.5663,2.545
DNSMOS_mos_sig,0,3.8728,2.9035,3.1765,3.2103,3.1814
DNSMOS_mos_sig,5,4.061,3.5316,3.5967,3.6031,3.578
DNSMOS_mos_sig,10,4.0771,3.8657,3.9089,3.9454,3.9008
DNSMOS_mos_sig,15,4.0568,4.0531,4.077,4.0798,4.0688
DNSMOS_mos_bak,-5,1.6786,3.2563,3.3921,3.3656,3.3724
DNSMOS_mos_bak,0,1.9375,3.4157,3.472,3.47,3.478
DNSMOS_mos_bak,5,2.2032,3.5685,3.7765,3.6927,3.7743
DNSMOS_mos_bak,10,2.365,3.7111,3.7448,3.803,3.727
DNSMOS_mos_bak,15,2.625,3.8715,3.9319,3.9596,3.9214
DNSMOS_mos_ovr,-5,1.9776,1.99,2.2055,2.2245,2.2132
DNSMOS_mos_ovr,0,2.3044,2.4802,2.6687,2.694,2.673
DNSMOS_mos_ovr,5,2.5446,2.9533,3.0958,3.0695,3.0826
DNSMOS_mos_ovr,10,2.6548,3.2509,3.3134,3.3735,3.3
DNSMOS_mos_ovr,15,2.8061,3.4574,3.5152,3.5323,3.5034
