clean_file,enhanced_file,sampling_rate,PESQ_Noisy,SI_SDR_Noisy,STOI_Noisy,DNSMOS_p808_mos_Noisy,DNSMOS_mos_sig_Noisy,DNSMOS_mos_bak_Noisy,DNSMOS_mos_ovr_Noisy,source_file,enhanced_file_mband_mel_avr0,sampling_rate_mband_mel_avr0,PESQ_mband_mel_avr0,SI_SDR_mband_mel_avr0,STOI_mband_mel_avr0,DNSMOS_p808_mos_mband_mel_avr0,DNSMOS_mos_sig_mband_mel_avr0,DNSMOS_mos_bak_mband_mel_avr0,DNSMOS_mos_ovr_mband_mel_avr0,source_file_mband_mel_avr0,enhanced_file_mband_mel_avr1,sampling_rate_mband_mel_avr1,PESQ_mband_mel_avr1,SI_SDR_mband_mel_avr1,STOI_mband_mel_avr1,DNSMOS_p808_mos_mband_mel_avr1,DNSMOS_mos_sig_mband_mel_avr1,DNSMOS_mos_bak_mband_mel_avr1,DNSMOS_mos_ovr_mband_mel_avr1,source_file_mband_mel_avr1,enhanced_file_mband_py_mel_avr0_8,sampling_rate_mband_py_mel_avr0_8,PESQ_mband_py_mel_avr0_8,SI_SDR_mband_py_mel_avr0_8,STOI_mband_py_mel_avr0_8,DNSMOS_p808_mos_mband_py_mel_avr0_8,DNSMOS_mos_sig_mband_py_mel_avr0_8,DNSMOS_mos_bak_mband_py_mel_avr0_8,DNSMOS_mos_ovr_mband_py_mel_avr0_8,source_file_mband_py_mel_avr0_8,enhanced_file_mband_py_mel_avr1,sampling_rate_mband_py_mel_avr1,PESQ_mband_py_mel_avr1,SI_SDR_mband_py_mel_avr1,STOI_mband_py_mel_avr1,DNSMOS_p808_mos_mband_py_mel_avr1,DNSMOS_mos_sig_mband_py_mel_avr1,DNSMOS_mos_bak_mband_py_mel_avr1,DNSMOS_mos_ovr_mband_py_mel_avr1,source_file_mband_py_mel_avr1,noise_category
p092_emo_adoration_freeform,BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.1179051399230957,4.982757568359375,0.747296154499054,2.643773039182028,4.331066451329311,2.334779836504334,2.776388626250618,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_mel_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.265145778656006,6.856988906860352,0.7433187961578369,2.804161071777344,3.293514447000217,2.092714563281692,2.183449864344208,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_N6_mel_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.290538668632507,7.089057445526123,0.7501063346862793,2.835951328277588,3.821064864911651,2.42684318161208,2.589950973455504,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_mel_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.2657437324523926,7.364159107208252,0.7407315373420715,2.761365532875061,2.722519875584599,1.9633342321048093,1.708337375290191,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_mel_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB,16000,1.3173964023590088,7.110719680786133,0.7543219327926636,2.844683567682902,3.453246732364335,2.2100802080639306,2.1434570799241794,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[5]dB_CLN-p092_emo_adoration_freeform.csv,Babble
p092_emo_adoration_sentences,BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.1803655624389648,5.005819320678711,0.7374955415725708,3.3973292963845387,3.748244741134378,2.5135954043468502,2.541718000765752,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_mel_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.4287055730819702,8.764557838439941,0.7304182052612305,3.419965709958757,2.6376832876593954,2.344874521650424,1.885195769952266,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_N6_mel_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.467437982559204,8.929669380187988,0.728482723236084,3.4527383872440884,3.820928444283116,2.8673127689579694,2.769424822231148,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_mel_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.3775522708892822,8.476637840270996,0.7351881861686707,3.376084429877145,2.401736113238957,3.009362073254919,2.006877777889307,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_mel_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB,16000,1.5298221111297607,8.924671173095703,0.7367095351219177,3.4101503917149136,3.576324403440709,2.983604544387949,2.670679479378671,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[5]dB_CLN-p092_emo_adoration_sentences.csv,Car
p092_emo_amazement_freeform,BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.0970019102096558,5.015362739562988,0.785666286945343,2.944141353879656,3.992972432977557,2.079351019201946,2.4632286773033867,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_mel_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.414410948753357,11.613941192626951,0.7952082753181458,2.9282655715942383,3.399649627716424,2.5446439450689486,2.5497140764387125,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_N6_mel_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.413190484046936,11.19774055480957,0.7949825525283813,2.929126330784389,3.421726759462228,2.431321064961117,2.4698692133846945,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_mel_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.3044579029083252,10.823291778564451,0.7953926920890808,2.78962288584028,3.0093150824269093,2.2792461043237258,2.143959008039083,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_mel_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB,16000,1.416153073310852,11.347095489501951,0.7989785671234131,2.955574376242501,3.795521494487653,2.6001421476900286,2.7377588396096044,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[5]dB_CLN-p092_emo_amazement_freeform.csv,Car
p092_emo_amazement_sentences,BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.1796753406524658,4.961920261383057,0.7268972992897034,3.1137354373931885,3.610230545933869,2.263053849684021,2.408852349692668,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_N6_mel_AVR0_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.3595008850097656,9.342535972595217,0.743408203125,2.930330514907837,3.0362229854210034,2.5291740672689818,2.2549694985086792,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_N6_mel_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.447865009307861,10.203420639038086,0.7298591732978821,2.8947067260742188,3.904952780306565,2.592380799122763,2.755150718203609,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_mel_AVR0_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.484885334968567,10.40373992919922,0.7284511923789978,2.99442195892334,3.01740575560538,2.318635441016225,2.1126678387764586,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_mel_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB,16000,1.5502264499664309,10.354448318481444,0.7439392805099487,3.078381299972534,3.3635555050818247,2.552343543670448,2.417577248344481,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[5]dB_CLN-p092_emo_amazement_sentences.csv,Car
p092_emo_amusement_freeform,BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0618342161178589,4.9871673583984375,0.7113854885101318,2.5354549884796143,3.3413483928024834,1.4391713217864743,1.7148123868458816,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_N6_mel_AVR0_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0765618085861206,7.287924766540527,0.7081559300422668,2.3545823097229004,3.783825130788309,1.7820220836896743,2.1928237233928787,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_N6_mel_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0853902101516724,5.063631057739258,0.7189785242080688,2.608598232269287,3.944032233278617,1.7604852583090995,2.2299972175174423,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_mel_AVR0_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.0995389223098757,6.266164302825928,0.7109428644180298,2.2259591817855835,3.089441622805817,1.7412070483223163,1.7663557434903208,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_mel_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB,16000,1.105078101158142,5.406002521514893,0.7177952527999878,2.407031774520874,3.630709813233743,1.803697810402036,2.0569350844096626,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[5]dB_CLN-p092_emo_amusement_freeform.csv,Construction
p092_emo_amusement_sentences,BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.0891962051391602,4.963659763336182,0.7565394043922424,2.7873645623524985,4.287304535505876,1.857619612580691,2.413883144315572,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_N6_mel_AVR0_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.2284399271011353,8.682777404785156,0.7504873871803284,2.6314457257588706,2.149169208967914,1.9875455139174565,1.5061847658243448,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_N6_mel_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.302189826965332,8.18011474609375,0.7783569693565369,2.8832035064697266,3.1579601513906064,2.3238725328044616,2.1768015515263026,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_mel_AVR0_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.2569303512573242,9.29669952392578,0.760039210319519,2.8187340100606284,1.7022458952265092,2.1876203804986334,1.3938341421341482,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_mel_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB,16000,1.3169203996658323,8.040474891662598,0.7770137786865234,2.9475847085316977,3.0836780069908407,2.2978350530927734,2.1019773481304704,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[5]dB_CLN-p092_emo_amusement_sentences.csv,Construction
p092_emo_anger_freeform,BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.1424521207809448,5.010672092437744,0.7959412336349487,2.484922204698836,4.204389554873325,1.555508235594467,2.1025015586557663,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_N6_mel_AVR0_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.1707146167755127,5.971813678741455,0.7889428734779358,2.397195441382272,3.5484945957490845,1.4157885084727808,1.656772753402662,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_N6_mel_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.226238250732422,6.2411394119262695,0.7974924445152283,2.7463382312229703,3.8315091630272233,1.7654025445950428,2.1647045508164706,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_mel_AVR0_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.1670069694519043,6.561831951141357,0.8073894381523132,2.2226713725498746,3.527483810934598,1.5543590611600937,1.8412935296777737,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_mel_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB,16000,1.359882116317749,8.071752548217773,0.7960731983184814,2.810042687824794,2.391157129513239,1.716272149994038,1.424870896789136,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[5]dB_CLN-p092_emo_anger_freeform.csv,Construction
p092_emo_anger_sentences,BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.151146650314331,5.017452716827393,0.6909574866294861,2.4644167763846263,3.405828936502461,1.571353907638284,1.7662565137414783,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_N6_mel_AVR0_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.2168841361999512,6.7320990562438965,0.7191234827041626,2.257095234734672,2.7739744527740635,1.7064981672567774,1.5819705270673723,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_N6_mel_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.2622876167297363,7.612105369567871,0.7007007002830505,2.3130531992231096,2.621422122335409,1.888407335609172,1.64396122393093,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_mel_AVR0_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.1722428798675537,6.113842964172363,0.6749188899993896,2.0634030614580428,2.457428301078647,1.7479314034771851,1.5047223698818084,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_mel_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB,16000,1.294071912765503,7.703701019287109,0.7221800088882446,2.474590301513672,2.615600995254272,1.7630325391796673,1.596251610781501,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[5]dB_CLN-p092_emo_anger_sentences.csv,Construction
p092_emo_confusion_freeform,BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.1362409591674805,5.014190196990967,0.6730671525001526,2.3884407792772566,4.057254154326409,1.7925783631554346,2.395434734256064,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_N6_mel_AVR0_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.2876243591308594,9.72681999206543,0.6656860709190369,2.693195138658796,3.6093670451983386,2.0227409424118394,2.252442262645489,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_N6_mel_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.300995707511902,8.358197212219238,0.6446276307106018,2.6058397633688792,4.205752158854195,2.4054246171918825,2.8416630308576125,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_mel_AVR0_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.357016682624817,10.204447746276855,0.6700521111488342,2.6364076478140697,3.974291489429461,2.024422264103911,2.423165015194326,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_mel_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB,16000,1.3875064849853516,6.786536693572998,0.673015832901001,2.67421065058027,4.1652380720244775,2.613459326056123,2.8900713524116126,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[5]dB_CLN-p092_emo_confusion_freeform.csv,Construction
p092_emo_confusion_sentences,BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.3481749296188354,4.986920356750488,0.5006161332130432,2.8088293075561523,3.965553456510679,2.47846623532828,2.6571909384516785,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_N6_mel_AVR0_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.4903059005737305,9.7506742477417,0.528802216053009,2.640516519546509,3.629691101053159,2.874375176233336,2.7974520094408315,mband_N6_mel_AVR0_metrics.csv_ENH-mband_N6_mel_AVR0_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_N6_mel_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.5557467937469482,9.20751667022705,0.5164919495582581,2.89126205444336,4.24428355223231,3.05941300451589,3.222398387749292,mband_N6_mel_AVR1_metrics.csv_ENH-mband_N6_mel_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_mel_AVR0_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.5622293949127195,8.163166999816895,0.5387699007987976,2.6479198932647705,3.582576689524543,2.734606743626247,2.6518292598068625,mband_py_N6_mel_AVR0_8_metrics.csv_ENH-mband_py_N6_mel_AVR0_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_mel_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB,16000,1.5796277523040771,9.80305290222168,0.5077071785926819,2.810340404510498,4.276077594560342,2.802095756423052,3.0460472390360827,mband_py_N6_mel_AVR1_8_metrics.csv_ENH-mband_py_N6_mel_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[5]dB_CLN-p092_emo_confusion_sentences.csv,Flight
