Metric,SNR_dB,Noisy,GTCRN,mband_py_log_hybrid_20ms_ov75_fl0p7_nf1_N4,mband_py_log_hybrid_20ms_ov75_fl0p8_nf1_N4,mband_py_log_hybrid_25ms_ov75_fl0p8_nf1_N4
PESQ,-5,1.0751,1.2394,1.2677,1.2676,1.2678
PESQ,0,1.1086,1.4197,1.4854,1.4848,1.4799
PESQ,5,1.2038,1.7413,1.7286,1.7269,1.7211
PESQ,10,1.3882,2.0438,2.0576,2.0577,2.0393
PESQ,15,1.7284,2.3784,2.4816,2.4882,2.4584
SI_SDR,-5,-5.0132,3.8175,4.6404,4.6445,4.611
SI_SDR,0,-0.0328,7.5701,7.685,7.7162,7.6571
SI_SDR,5,4.9972,11.472,11.3856,11.4308,11.3332
SI_SDR,10,9.9995,14.5717,14.2745,14.3228,14.1828
SI_SDR,15,14.9983,18.4455,17.5632,17.664,17.3855
STOI,-5,0.5692,0.5839,0.5938,0.5944,0.5943
STOI,0,0.6387,0.6607,0.664,0.6645,0.6642
STOI,5,0.6961,0.7258,0.7269,0.7273,0.7267
STOI,10,0.7539,0.7754,0.7741,0.7744,0.7738
STOI,15,0.7911,0.8091,0.8075,0.8077,0.807
DNSMOS_p808_mos,-5,2.4054,2.7985,2.8202,2.8151,2.8165
DNSMOS_p808_mos,0,2.5219,2.9849,3.0466,3.0444,3.0492
DNSMOS_p808_mos,5,2.6909,3.2097,3.2113,3.2135,3.2132
DNSMOS_p808_mos,10,2.8637,3.3136,3.3502,3.3489,3.3532
DNSMOS_p808_mos,15,2.9952,3.4446,3.4638,3.4638,3.467
DNSMOS_mos_sig,-5,3.5547,2.2821,2.6035,2.6062,2.6327
DNSMOS_mos_sig,0,3.8728,2.9035,3.2422,3.2423,3.2936
DNSMOS_mos_sig,5,4.061,3.5316,3.6471,3.6502,3.6469
DNSMOS_mos_sig,10,4.0771,3.8657,3.9693,3.9817,4.0122
DNSMOS_mos_sig,15,4.0568,4.0531,4.0846,4.0855,4.138
DNSMOS_mos_bak,-5,1.6786,3.2563,3.3683,3.3578,3.3737
DNSMOS_mos_bak,0,1.9375,3.4157,3.5438,3.5194,3.5326
DNSMOS_mos_bak,5,2.2032,3.5685,3.6983,3.6934,3.7169
DNSMOS_mos_bak,10,2.365,3.7111,3.8169,3.813,3.8335
DNSMOS_mos_bak,15,2.625,3.8715,3.943,3.9427,3.9745
DNSMOS_mos_ovr,-5,1.9776,1.99,2.2433,2.2414,2.2661
DNSMOS_mos_ovr,0,2.3044,2.4802,2.7395,2.7306,2.7745
DNSMOS_mos_ovr,5,2.5446,2.9533,3.093,3.0946,3.1
DNSMOS_mos_ovr,10,2.6548,3.2509,3.3975,3.4065,3.4386
DNSMOS_mos_ovr,15,2.8061,3.4574,3.5185,3.5184,3.5798
