Noise_Category,Metric,Baseline_Noisy,GTCRN_baseline,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin,"WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,"
Babble,PESQ,1.520,1.704 (+0.184),2.266 (+0.746),2.112 (+0.591)
Babble,SI_SDR,9.984,10.570 (+0.587),12.029 (+2.045),12.490 (+2.506)
Babble,STOI,0.715,0.724 (+0.009),0.766 (+0.051),0.765 (+0.050)
Babble,DNSMOS_mos_ovr,2.838,2.928 (+0.090),2.969 (+0.131),3.027 (+0.189)
Stationary,PESQ,1.322,1.784 (+0.463),1.599 (+0.277),1.541 (+0.219)
Stationary,SI_SDR,10.003,11.543 (+1.540),10.660 (+0.657),10.844 (+0.841)
Stationary,STOI,0.750,0.718 (-0.032),0.702 (-0.047),0.700 (-0.050)
Stationary,DNSMOS_mos_ovr,2.844,3.125 (+0.281),2.919 (+0.076),2.797 (-0.047)
Street,PESQ,1.289,1.587 (+0.298),1.598 (+0.309),1.540 (+0.251)
Street,SI_SDR,10.003,11.440 (+1.437),10.860 (+0.858),10.852 (+0.849)
Street,STOI,0.771,0.737 (-0.034),0.733 (-0.037),0.728 (-0.042)
Street,DNSMOS_mos_ovr,2.832,2.436 (-0.396),2.649 (-0.183),2.701 (-0.131)
Train,PESQ,1.481,1.776 (+0.295),1.810 (+0.330),1.760 (+0.279)
Train,SI_SDR,9.998,11.608 (+1.610),11.792 (+1.794),11.850 (+1.852)
Train,STOI,0.739,0.728 (-0.011),0.731 (-0.008),0.731 (-0.008)
Train,DNSMOS_mos_ovr,2.566,3.028 (+0.462),3.441 (+0.875),3.452 (+0.886)
